NombreFichero;NombreActividad;Ubicacion;TipoActividadOriginal;UbicacionActividad;TipoActividad;SubTipoActividad;Fecha;Hora;LatitudInicio;LongitudInicio;Distancia;TiempoTotal;TiempoActividad;TramosPausas;FrecuenciaCardiacaMedia;FrecuenciaCardiacaMaxima;FrecuenciaCardiacaMinima;CadenciaMedia;CadenciaMaxima;CadenciaMinima;TemperaturaMedia;TemperaturaMaxima;TemperaturaMinima;AltitudMaxima;AltitudMinima;DesnivelPositivo;DesnivelNegativo;DesnivelPorKilometro;VelocidadMedia;VelocidadMaxima;VelocidadPercentil90;VelocidadMinima;VelocidadPercentil10;VelocidadMediaAscenso;VelocidadMediaDescenso;RatioVelocidadDesnivel
activity_2608808209.gpx;Madrid Carrera;;running;;;;08/04/2018;9:06:26;4.041.845.206.171.270;-36.934.543.680.399.600;21712;1:23:33;1:23:33;1;166;175;74;175;187;160;21;24;16;708;600;161;176;15;15.6;24.8;18.3;5.1;12.9;15.2;16.0;0.9
activity_2692887082.gpx;Herrera de los Navarros Trail running;;trail_running;;;;12/05/2018;9:16:36;4.120.949.199.423.190;-1.084.499.331.191.180;26912;2:36:25;2:36:25;1;163;175;101;155;221;0;28;32;23;1333;676;1049;1050;78;10.3;20.4;14.9;0.0;5.3;8.5;12.9;0.7
activity_3036114073.gpx;Madrid Carrera;;running;;;;23/09/2018;9:10:28;40.416.373.433.545.200;-3.677.661.269.903.180;11145;0:39:11;0:39:09;2;167;175;96;174;220;0;28;30;25;632;580;64;103;15;17.1;75.1;20.0;0.1;13.7;15.8;17.9;0.9
activity_3153121730.gpx;Madrid Carrera;;running;;;;11/11/2018;9:03:34;4.045.378.480.106.590;-3.686.732.919.886.700;10123;0:36:10;0:36:10;1;162;179;101;177;232;0;22;26;20;700;564;46;162;21;16.8;40.6;18.6;11.4;14.8;15.9;17.1;0.9
activity_3228088909.gpx;Aranjuez Carrera;;running;;;;16/12/2018;12:00:45;4.003.585.263.155.400;-36.004.548.892.378.800;10074;0:36:47;0:36:47;1;163;176;77;178;206;8;21;23;20;479;459;40;40;8;16.4;18.7;17.7;11.6;15.3;16.3;16.5;1.0
activity_3260781572.gpx;Herrera de los Navarros Trail running;;trail_running;;;;31/12/2018;10:08:14;41.208.841.307.088.700;-10.834.678.541.868.900;25415;3:14:47;2:51:19;44;141;170;88;151;220;11;25;30;19;1333;672;1010;998;79;8.9;14.9;12.1;2.4;5.0;7.6;10.7;0.7
activity_3268502204.gpx;Herrera de los Navarros Carrera;;running;;;;03/01/2019;12:33:18;412.105.284.165.591;-108.456.177.636.981;10700;0:57:03;0:52:43;3;153;180;73;158;278;14;22;27;19;855;810;96;89;17;12.2;20.3;17.0;0.0;3.2;10.8;13.4;0.8
activity_3431218334.gpx;Herrera de los Navarros - Ciclismo de montaña;;mountain_biking;;;;03/03/2019;10:53:20;4.121.047.971.770.160;-10.825.291.648.507.100;29974;2:37:20;2:21:13;5;118;154;70;0;0;0;26;29;24;1336;809;795;787;53;12.7;50.3;25.2;0.0;6.8;9.4;22.5;0.4
MaratonMadrid_2018.gpx;Madrid Carrera;;running;;;;22/04/2018;9:05:45;40.430.239.364.504.800;-3.689.248.077.571.390;43675;3:21:40;3:21:40;1;160;181;79;164;182;14;28;32;21;734;590;353;366;16;13.0;25.5;16.2;1.6;9.3;12.3;13.8;0.9
activity_3655234220.gpx;Madrid - 3x1000 3000;;running;;;;16/05/2019;19:39:46;4.041.502.403.095.360;-37.240.390.107.035.600;11002;1:12:56;0:53:50;4;151;180;71;155;245;11;26;30;24;626;575;82;83;15;12.3;22.7;17.1;0.0;1.7;12.3;12.2;1.0
4x(1kR1-1kR2-1kR3)_20200204.gpx;Madrid Carrera;;running;;;;04/02/2020;19:38:09;4.041.677.945.293.480;-372.435.106.895.864;15203;1:08:01;1:04:14;4;155;177;91;172;187;106;19;27;14;599;548;95;94;12;14.2;18.9;16.7;4.7;11.7;13.8;14.6;0.9
IX_Maraton_Ciudad_de_Zaragoza.gpx;IX Maratón Ciudad de Zaragoza;;9;;;;27/09/2015;8:32:17;41.655.908;-0.8776709999999999;42348;4:04:45;4:04:45;1;152;173;114;0;0;0;0;0;0;257;186;574;574;27;10.4;19.5;12.8;1.4;6.4;10.4;10.4;1.0
IV_DesafioHerrerino.gpx;Herrera de los Navarros Trail running;;trail_running;;;;12/05/2018;9:16:36;4.120.949.199.423.190;-1.084.499.331.191.180;26912;2:36:25;2:36:25;1;163;175;101;155;221;0;28;32;23;1333;676;1049;1050;78;10.3;20.4;14.9;0.0;5.3;8.5;12.9;0.7
2KV_Collarada.gpx;2KV Collarada;;9;;;;19/07/2015;8:14:41;42.682.602;-0.5322979999999999;16607;3:40:16;3:37:06;2;144;173;90;0;0;0;0;0;0;2833;953;1916;1917;231;4.6;17.5;9.2;0.0;0.9;3.5;6.6;0.5
XVMediaMaratonLatina_20200223.gpx;Madrid Carrera;;running;;;;23/02/2020;9:30:18;4.038.704.230.450.090;-37.655.109.073.966.700;21467;1:20:32;1:20:32;1;162;176;94;177;206;0;20;24;16;684;590;226;225;21;16.0;39.4;17.6;6.7;14.2;15.5;16.5;0.9
10X(100+300) R30R90.gpx;Madrid - 10x(100+300) R30;;running;;;;19/11/2019;19:37:43;40.414.949.096.739.200;-37.244.368.996.471.100;10593;1:03:19;0:54:47;5;145;177;49;157;278;14;14;28;11;611;569;88;90;17;11.6;26.1;19.9;0.1;2.4;11.6;11.6;1.0
activity_3242234498.gpx;Herrera de los Navarros Ciclismo de montaña;;mountain_biking;;;;23/12/2018;10:25:44;41.210.447.866.469.600;-10.796.678.345.650.400;43169;3:40:00;2:38:15;19;96;148;43;0;0;0;26;30;20;860;586;494;501;23;16.3;40.2;23.9;0.1;8.5;14.5;19.5;0.7
activity_3258212052.gpx;Herrera de los Navarros Carrera;;running;;;;30/12/2018;12:45:43;41.210.588.766.261.900;-10.847.480.222.582.800;13248;1:04:54;1:00:19;3;159;182;90;169;200;23;23;26;20;910;810;141;131;21;13.2;19.9;17.0;6.6;10.2;13.1;13.3;1.0
activity_3233105032.gpx;Madrid Carrera;;running;;;;18/12/2018;19:44:02;404.152.992.926.538;-3.723.956.365.138.290;12141;1:01:12;0:58:50;2;142;173;89;163;174;70;20;28;16;654;576;118;116;19;12.4;16.8;14.4;8.1;10.5;11.8;13.2;0.9
activity_3235092917.gpx;Madrid Carrera;;running;;;;19/12/2018;19:43:38;40.415.106.089.785.600;-37.241.915.613.412.800;10800;0:52:50;0:47:12;3;151;172;74;168;192;15;20;30;16;610;574;87;90;16;13.7;19.4;16.6;4.6;11.3;13.5;14.1;1.0
activity_3358982300.gpx;Madrid Carrera;;running;;;;05/02/2019;19:40:15;40.415.309.434.756.600;-3.724.523.149.430.750;13438;1:01:57;0:56:25;3;154;177;68;169;187;84;16;28;11;639;575;97;101;15;14.3;19.0;17.0;6.6;11.7;14.2;14.4;1.0
activity_3239943976.gpx;Herrera de los Navarros Trail running;;trail_running;;;;22/12/2018;12:00:27;41.210.417.188.704.000;-10.829.224.437.475.200;15109;1:42:36;1:25:41;15;144;167;61;160;220;1;25;29;18;914;674;453;479;62;10.6;16.1;14.2;2.2;6.6;9.1;12.3;0.7
Lunch_Run.gpx;Lunch Run;;9;;;;17/11/2018;11:42:34;40.451.157;-369.823;18867;1:44:21;1:28:21;21;144;164;75;164;184;0;24;28;20;759;630;241;235;25;12.8;23.3;14.7;5.0;10.9;12.3;13.3;0.9
10X(200+300) R45R90.gpx;Madrid - 10x(200+300) R45;;running;;;;26/11/2019;19:38:06;40.415.045.404.806.700;-37.242.861.092.090.600;11414;1:07:48;1:01:25;5;152;184;59;155;300;1;20;30;16;611;571;96;99;17;11.2;25.6;19.8;0.0;2.0;10.9;11.4;1.0
5x(3-2-1)_20200218.gpx;Madrid - Fartlek 5x(3-2-1;;running;;;;18/02/2020;19:37:32;40.414.980.193.600.000;-3.723.953.515.291.210;12673;1:03:11;0:53:44;3;148;180;67;172;192;64;17;29;13;628;572;87;91;14;14.1;19.7;17.0;4.6;11.7;13.9;14.4;1.0
200m_Reydelapista.gpx;Madrid Carrera;;running;;;;12/01/2019;11:11:03;4.038.531.093.858.180;-37.688.916.642.218.800;205;0:00:31;0:00:31;1;118;139;100;133;249;0;0;0;0;670;666;1;0;5;23.2;27.6;27.3;4.8;16.2;23.2;;
